PING 10.0.0.13 (10.0.0.13) 56(84) bytes of data.
64 bytes from 10.0.0.13: icmp_seq=31 ttl=64 time=123 ms
64 bytes from 10.0.0.13: icmp_seq=32 ttl=64 time=200 ms
64 bytes from 10.0.0.13: icmp_seq=33 ttl=64 time=115 ms
64 bytes from 10.0.0.13: icmp_seq=34 ttl=64 time=115 ms
64 bytes from 10.0.0.13: icmp_seq=35 ttl=64 time=118 ms
64 bytes from 10.0.0.13: icmp_seq=36 ttl=64 time=186 ms
64 bytes from 10.0.0.13: icmp_seq=37 ttl=64 time=227 ms
64 bytes from 10.0.0.13: icmp_seq=38 ttl=64 time=127 ms
64 bytes from 10.0.0.13: icmp_seq=39 ttl=64 time=141 ms
64 bytes from 10.0.0.13: icmp_seq=40 ttl=64 time=230 ms
64 bytes from 10.0.0.13: icmp_seq=41 ttl=64 time=130 ms
64 bytes from 10.0.0.13: icmp_seq=42 ttl=64 time=375 ms
64 bytes from 10.0.0.13: icmp_seq=43 ttl=64 time=102 ms
64 bytes from 10.0.0.13: icmp_seq=44 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=45 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=46 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=47 ttl=64 time=285 ms
64 bytes from 10.0.0.13: icmp_seq=48 ttl=64 time=150 ms
64 bytes from 10.0.0.13: icmp_seq=49 ttl=64 time=1174 ms
64 bytes from 10.0.0.13: icmp_seq=50 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=51 ttl=64 time=110 ms
64 bytes from 10.0.0.13: icmp_seq=52 ttl=64 time=255 ms
64 bytes from 10.0.0.13: icmp_seq=53 ttl=64 time=111 ms
64 bytes from 10.0.0.13: icmp_seq=54 ttl=64 time=117 ms
64 bytes from 10.0.0.13: icmp_seq=55 ttl=64 time=117 ms
64 bytes from 10.0.0.13: icmp_seq=56 ttl=64 time=152 ms
64 bytes from 10.0.0.13: icmp_seq=57 ttl=64 time=114 ms
64 bytes from 10.0.0.13: icmp_seq=58 ttl=64 time=392 ms
64 bytes from 10.0.0.13: icmp_seq=59 ttl=64 time=139 ms
64 bytes from 10.0.0.13: icmp_seq=60 ttl=64 time=317 ms
64 bytes from 10.0.0.13: icmp_seq=61 ttl=64 time=116 ms
64 bytes from 10.0.0.13: icmp_seq=62 ttl=64 time=155 ms
64 bytes from 10.0.0.13: icmp_seq=63 ttl=64 time=187 ms
64 bytes from 10.0.0.13: icmp_seq=64 ttl=64 time=126 ms
64 bytes from 10.0.0.13: icmp_seq=65 ttl=64 time=175 ms
64 bytes from 10.0.0.13: icmp_seq=66 ttl=64 time=245 ms
64 bytes from 10.0.0.13: icmp_seq=67 ttl=64 time=309 ms
64 bytes from 10.0.0.13: icmp_seq=68 ttl=64 time=181 ms
64 bytes from 10.0.0.13: icmp_seq=69 ttl=64 time=192 ms
64 bytes from 10.0.0.13: icmp_seq=70 ttl=64 time=157 ms
64 bytes from 10.0.0.13: icmp_seq=71 ttl=64 time=120 ms
64 bytes from 10.0.0.13: icmp_seq=72 ttl=64 time=108 ms
64 bytes from 10.0.0.13: icmp_seq=73 ttl=64 time=139 ms
64 bytes from 10.0.0.13: icmp_seq=74 ttl=64 time=104 ms
64 bytes from 10.0.0.13: icmp_seq=75 ttl=64 time=138 ms
64 bytes from 10.0.0.13: icmp_seq=76 ttl=64 time=145 ms
64 bytes from 10.0.0.13: icmp_seq=77 ttl=64 time=225 ms
64 bytes from 10.0.0.13: icmp_seq=78 ttl=64 time=190 ms
64 bytes from 10.0.0.13: icmp_seq=79 ttl=64 time=155 ms
64 bytes from 10.0.0.13: icmp_seq=80 ttl=64 time=274 ms
64 bytes from 10.0.0.13: icmp_seq=81 ttl=64 time=200 ms
